date,month,hour,dayofweek,tmpc,mw2day,mw7day,potential,poten_2,poten_7
2018-02-06 01:00:00,2,1,1,-3.782,3101.69,3434.57,694.8555555555554,231.0855555555554,420.686923076923
2018-02-06 02:00:00,2,2,1,-3.908,3114.76,3550.25,723.8811111111108,263.181111111111,558.2730769230766
2018-02-06 03:00:00,2,3,1,-4.033,3129.05,3687.31,758.1711111111113,232.2611111111114,689.3819230769232
2018-02-06 04:00:00,2,4,1,-4.115,3161.19,4006.7,915.5483333333332,159.69833333333327,953.913846153846
2018-02-06 05:00:00,2,5,1,-4.172,3265.71,4426.33,1319.7872222222222,16.25722222222248,1223.0657692307695
2018-02-06 06:00:00,2,6,1,-4.224,3563.21,5195.77,1693.8849999999998,4.605000000000018,1733.4326923076924
2018-02-06 07:00:00,2,7,1,-4.06,3866.71,5374.15,1591.438888888889,44.50888888888903,1635.0442307692306
2018-02-06 08:00:00,2,8,1,-3.342,4115.72,5458.9,1447.2783333333327,114.8083333333334,1515.3584615384616
2018-02-06 09:00:00,2,9,1,-2.688,4234.23,5456.69,1382.7144444444443,156.83444444444422,1380.0003846153843
2018-02-06 10:00:00,2,10,1,-2.227,4204.11,5349.2,1309.9033333333336,141.29333333333307,1245.7188461538462
2018-02-06 11:00:00,2,11,1,-1.944,4160.01,5119.69,1232.972777777778,154.76277777777796,1060.5065384615375
2018-02-06 12:00:00,2,12,1,-1.79,4131.89,5181.87,3767.2472222222223,168.0772222222222,1174.2357692307687
2018-02-06 13:00:00,2,13,1,-1.776,4161.03,5028.96,1679.677777777777,258.19777777777654,1036.3638461538462
2018-02-06 14:00:00,2,14,1,-1.979,4170.69,4866.03,1231.828333333333,286.9283333333324,843.961153846154
2018-02-06 15:00:00,2,15,1,-2.591,4310.53,5017.66,1169.3777777777768,322.5477777777769,733.3192307692316
2018-02-06 16:00:00,2,16,1,-2.924,4877.7,5511.0,1239.88,449.4899999999998,796.2707692307686
2018-02-06 17:00:00,2,17,1,-3.137,4896.45,5362.53,1056.1977777777774,360.1177777777775,756.8038461538454
2018-02-06 18:00:00,2,18,1,-3.314,4586.83,5001.55,1015.3994444444444,361.219444444444,708.043461538462
2018-02-06 19:00:00,2,19,1,-3.416,4295.39,4677.14,991.0466666666666,355.9566666666674,650.5792307692309
2018-02-06 20:00:00,2,20,1,-3.463,4053.62,4411.59,915.7155555555556,363.6155555555552,624.3492307692304
2018-02-06 21:00:00,2,21,1,-3.52,3816.19,4104.1,820.6238888888879,392.8938888888879,557.8392307692311
2018-02-06 22:00:00,2,22,1,-3.579,3588.81,3746.46,715.4661111111113,393.4561111111111,428.95653846153846
2018-02-06 23:00:00,2,23,1,-3.621,3405.48,3500.34,667.0155555555552,388.87555555555537,346.0588461538464
2018-02-07 00:00:00,2,0,2,-3.641,3374.12,3300.83,662.5227777777777,445.6327777777774,207.5146153846149
2018-02-07 01:00:00,2,1,2,-3.628,3339.55,3274.56,675.0355555555552,468.94555555555553,260.6769230769228
2018-02-07 02:00:00,2,2,2,-3.62,3354.93,3310.41,720.5311111111109,503.3511111111106,318.43307692307644
2018-02-07 03:00:00,2,3,2,-3.56,3468.36,3381.77,749.5711111111113,571.5711111111113,383.8419230769232
2018-02-07 04:00:00,2,4,2,-3.531,3736.86,3682.74,887.2383333333332,735.3683333333333,629.9538461538459
2018-02-07 05:00:00,2,5,2,-3.512,4427.17,4220.61,1320.6872222222228,1177.7172222222223,1017.3457692307692
2018-02-07 06:00:00,2,6,2,-3.537,5108.01,4917.1,1697.435,1549.4050000000002,1454.7626923076923
2018-02-07 07:00:00,2,7,2,-3.084,5321.32,5064.85,1561.9488888888886,1499.1188888888887,1325.7442307692313
2018-02-07 08:00:00,2,8,2,-1.844,5335.41,5026.75,1336.8083333333334,1334.498333333333,1083.208461538462
2018-02-07 09:00:00,2,9,2,-0.892,5324.81,5125.48,1313.6044444444449,1247.414444444445,1048.7903846153845
2018-02-07 10:00:00,2,10,2,-0.153,5223.32,5091.75,1275.1733333333332,1160.503333333333,988.2688461538464
2018-02-07 11:00:00,2,11,2,0.365,5082.02,5019.6,1236.352777777778,1076.7727777777782,960.4165384615384
2018-02-07 12:00:00,2,12,2,0.631,5087.01,5046.08,1256.447222222222,1123.197222222222,1038.4457692307687
2018-02-07 13:00:00,2,13,2,0.634,5028.92,4922.65,1213.0277777777765,1126.0877777777769,930.0538461538458
2018-02-07 14:00:00,2,14,2,0.302,4910.58,4817.57,1090.2583333333332,1026.8183333333327,795.501153846154
2018-02-07 15:00:00,2,15,2,-0.531,4984.59,4844.59,1015.7577777777768,996.6077777777772,560.2492307692319
2018-02-07 16:00:00,2,16,2,-1.027,5566.28,5239.72,1090.0100000000002,1138.0699999999997,524.9907692307688
2018-02-07 17:00:00,2,17,2,-1.225,5516.21,5074.52,952.1077777777772,979.8777777777776,468.79384615384606
2018-02-07 18:00:00,2,18,2,-1.347,5176.14,4730.41,896.4194444444438,950.5294444444444,436.90346153846167
2018-02-07 19:00:00,2,19,2,-1.393,4847.14,4435.19,884.2066666666674,907.7066666666674,408.62923076923016
2018-02-07 20:00:00,2,20,2,-1.392,4514.23,4162.83,834.6055555555549,824.2255555555548,375.5892307692302
2018-02-07 21:00:00,2,21,2,-1.341,4207.93,3867.15,750.963888888888,784.6338888888881,320.88923076923083
2018-02-07 22:00:00,2,22,2,-1.306,3892.09,3521.09,673.2061111111111,696.7361111111113,203.58653846153857
2018-02-07 23:00:00,2,23,2,-1.266,3690.23,3313.71,654.3355555555554,673.6255555555554,159.42884615384628
