date,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-21 07:00:00,10.0,1,7,0,31506.215,39099.988,15546.12594117647
2019-01-21 08:00:00,10.0,1,8,0,32692.605,39199.637,15403.423411764708
2019-01-21 09:00:00,10.9,1,9,0,33527.831,38533.949,15029.930588235293
2019-01-21 10:00:00,12.0,1,10,0,33943.924,37601.226,14631.327588235295
2019-01-21 11:00:00,12.9,1,11,0,34016.909,36563.227,14324.14988235294
2019-01-21 12:00:00,15.1,1,12,0,33823.043,35660.133,14042.435882352936
2019-01-21 13:00:00,16.0,1,13,0,33584.599,34919.124,13455.726705882353
2019-01-21 14:00:00,17.1,1,14,0,33443.817,34459.675,13168.79541176471
2019-01-21 15:00:00,18.0,1,15,0,33669.741,34711.425,13228.449235294123
2019-01-21 16:00:00,19.0,1,16,0,34554.319,36087.961,13594.23911764706
2019-01-21 17:00:00,19.0,1,17,0,35968.64,39026.212,14328.935411764707
2019-01-21 18:00:00,18.0,1,18,0,35918.992,39802.122,14690.701117647062
2019-01-21 19:00:00,18.0,1,19,0,35251.768,39582.138,14578.453588235294
2019-01-21 20:00:00,17.1,1,20,0,34446.567,38974.493,14375.549647058817
2019-01-21 21:00:00,17.1,1,21,0,33247.625,37538.772,13812.31288235294
2019-01-21 22:00:00,16.0,1,22,0,31509.006,35519.088,13144.427470588234
2019-01-21 23:00:00,15.1,1,23,0,29882.566,33718.821,12840.73752941176
2019-01-22 00:00:00,15.1,1,0,1,28393.993,32480.253,13476.901764705884
