ept,tmp,month,hour,dayofweek,kw_2,kw_7
2017-01-15 16:00:00,55.8,1,16,6,21546.0,25974.0
2017-01-15 17:00:00,54.5,1,17,6,21114.0,28026.0
2017-01-15 18:00:00,49.6,1,18,6,20898.0,29268.0
2017-01-15 19:00:00,50.4,1,19,6,20034.0,29700.0
2017-01-15 20:00:00,49.6,1,20,6,19116.0,30024.0
2017-01-15 21:00:00,49.1,1,21,6,18090.0,29862.0
2017-01-15 22:00:00,48.2,1,22,6,17280.0,29430.0
2017-01-15 23:00:00,47.1,1,23,6,16632.0,28944.0
2017-01-16 00:00:00,45.9,1,0,0,16524.0,29646.0
2017-01-16 01:00:00,45.5,1,1,0,16794.0,30186.0
2017-01-16 02:00:00,44.1,1,2,0,16524.0,31212.0
2017-01-16 03:00:00,43.7,1,3,0,16416.0,31050.0
2017-01-16 04:00:00,43.0,1,4,0,17118.0,31644.0
2017-01-16 05:00:00,42.1,1,5,0,17982.0,32778.0
2017-01-16 06:00:00,41.9,1,6,0,18954.0,34830.0
2017-01-16 07:00:00,41.9,1,7,0,20682.0,35964.0
2017-01-16 08:00:00,42.1,1,8,0,21816.0,34776.0
2017-01-16 09:00:00,42.8,1,9,0,21762.0,32454.0
2017-01-16 10:00:00,44.2,1,10,0,22356.0,30618.0
2017-01-16 11:00:00,46.4,1,11,0,21924.0,28782.0
2017-01-16 12:00:00,46.2,1,12,0,21276.0,27108.0
2017-01-16 13:00:00,47.7,1,13,0,21654.0,26298.0
2017-01-16 14:00:00,48.7,1,14,0,21384.0,25650.0
2017-01-16 15:00:00,49.5,1,15,0,21438.0,26406.0
2017-01-16 16:00:00,50.2,1,16,0,21924.0,27432.0
2017-01-16 17:00:00,50.2,1,17,0,21978.0,29646.0
2017-01-16 18:00:00,49.5,1,18,0,21924.0,30834.0
2017-01-16 19:00:00,48.7,1,19,0,21492.0,31212.0
2017-01-16 20:00:00,48.9,1,20,0,20682.0,31266.0
2017-01-16 21:00:00,48.7,1,21,0,20412.0,30834.0
2017-01-16 22:00:00,48.6,1,22,0,19548.0,30564.0
2017-01-16 23:00:00,48.4,1,23,0,18306.0,29700.0
2017-01-17 00:00:00,48.2,1,0,1,17766.0,29646.0
2017-01-17 01:00:00,47.5,1,1,1,17658.0,29322.0
2017-01-17 02:00:00,47.3,1,2,1,17010.0,28836.0
2017-01-17 03:00:00,46.9,1,3,1,16794.0,28728.0
2017-01-17 04:00:00,46.0,1,4,1,16740.0,29430.0
2017-01-17 05:00:00,45.1,1,5,1,17064.0,31050.0
2017-01-17 06:00:00,45.0,1,6,1,17280.0,32886.0
2017-01-17 07:00:00,45.5,1,7,1,17604.0,33102.0
2017-01-17 08:00:00,46.4,1,8,1,18630.0,31536.0
2017-01-17 09:00:00,48.6,1,9,1,18576.0,28998.0
2017-01-17 10:00:00,50.4,1,10,1,17658.0,26244.0
2017-01-17 11:00:00,51.8,1,11,1,16956.0,24948.0
2017-01-17 12:00:00,52.9,1,12,1,16146.0,22842.0
2017-01-17 13:00:00,55.8,1,13,1,15282.0,22626.0
2017-01-17 14:00:00,57.4,1,14,1,15012.0,22518.0
2017-01-17 15:00:00,61.5,1,15,1,15012.0,22302.0
2017-01-17 16:00:00,60.3,1,16,1,15120.0,23922.0
2017-01-17 17:00:00,58.6,1,17,1,16146.0,25110.0
2017-01-17 18:00:00,59.5,1,18,1,16794.0,26136.0
2017-01-17 19:00:00,59.9,1,19,1,16794.0,26136.0
2017-01-17 20:00:00,60.1,1,20,1,16740.0,25326.0
2017-01-17 21:00:00,59.0,1,21,1,16200.0,24354.0
2017-01-17 22:00:00,61.3,1,22,1,15660.0,23922.0
2017-01-17 23:00:00,61.0,1,23,1,15444.0,22194.0
2017-01-18 00:00:00,60.4,1,0,2,16200.0,21168.0
2017-01-18 01:00:00,61.7,1,1,2,16902.0,21384.0
2017-01-18 02:00:00,61.7,1,2,2,17172.0,20898.0
2017-01-18 03:00:00,61.5,1,3,2,17226.0,20250.0
2017-01-18 04:00:00,60.4,1,4,2,18090.0,20412.0
2017-01-18 05:00:00,60.8,1,5,2,19818.0,21978.0
2017-01-18 06:00:00,61.7,1,6,2,20790.0,23706.0
2017-01-18 07:00:00,61.9,1,7,2,21762.0,24192.0
2017-01-18 08:00:00,61.2,1,8,2,22410.0,23382.0
2017-01-18 09:00:00,61.3,1,9,2,22950.0,22194.0
2017-01-18 10:00:00,62.6,1,10,2,22896.0,22086.0
2017-01-18 11:00:00,64.8,1,11,2,22410.0,22140.0
2017-01-18 12:00:00,67.8,1,12,2,21438.0,20844.0
2017-01-18 13:00:00,70.9,1,13,2,21168.0,20952.0
2017-01-18 14:00:00,69.8,1,14,2,20898.0,21060.0
2017-01-18 15:00:00,67.6,1,15,2,20790.0,20952.0
2017-01-18 16:00:00,66.2,1,16,2,21492.0,21762.0
2017-01-18 17:00:00,63.7,1,17,2,22680.0,22410.0
2017-01-18 18:00:00,60.4,1,18,2,23058.0,22842.0
2017-01-18 19:00:00,57.4,1,19,2,22626.0,22842.0
2017-01-18 20:00:00,49.6,1,20,2,22086.0,22248.0
2017-01-18 21:00:00,48.2,1,21,2,21276.0,21114.0
2017-01-18 22:00:00,45.0,1,22,2,19926.0,20142.0
2017-01-18 23:00:00,43.9,1,23,2,18468.0,18792.0
2017-01-19 00:00:00,42.4,1,0,3,17982.0,18630.0
2017-01-19 01:00:00,40.5,1,1,3,18630.0,18900.0
2017-01-19 02:00:00,39.2,1,2,3,18576.0,18306.0
2017-01-19 03:00:00,38.3,1,3,3,18414.0,18576.0
2017-01-19 04:00:00,37.2,1,4,3,18792.0,18954.0
2017-01-19 05:00:00,36.5,1,5,3,19656.0,19980.0
2017-01-19 06:00:00,35.4,1,6,3,22194.0,21924.0
2017-01-19 07:00:00,36.7,1,7,3,23058.0,22572.0
2017-01-19 08:00:00,36.9,1,8,3,22410.0,21816.0
2017-01-19 09:00:00,43.2,1,9,3,21600.0,21168.0
2017-01-19 10:00:00,47.5,1,10,3,21060.0,21060.0
2017-01-19 11:00:00,51.1,1,11,3,21060.0,21060.0
2017-01-19 12:00:00,53.4,1,12,3,20358.0,20628.0
2017-01-19 13:00:00,56.7,1,13,3,19926.0,20412.0
