Demand,Normalized_net,Temperature
780.4,0.566118158,-4
774.5,0.561838177,-5
759.6,0.551029412,-6
736.3,0.534127114,-6
689.8,0.500395061,-6
635.1,0.46071456,-6
593.2,0.430319441,-6
565.6,0.410297835,-7
555.9,0.403261256,-6
549.5,0.398618565,-6
560,0.40623548,-6
600.7,0.435760095,-6
676.7,0.490892053,-7
749.7132731,0.543857378,-7
760.7019198,0.551828767,-6
772.0063218,0.560029212,-6
743.1668071,0.539108437,-6
741.3756231,0.537809075,-6
773.2394629,0.560923758,-6
787.7441527,0.571445757,-6
777.2527326,0.563835066,-6
780.4641536,0.566164697,-6
810.3084637,0.587814371,-5
873.5,0.633654807,-5
871.6,0.632276508,-5
844.8,0.612835239,-5
805.3,0.584181129,-5
762.3,0.552988047,-5
721.5,0.523390891,-5
666.9,0.483782932,-5
628.7,0.456071869,-6
603.2,0.437573646,-6
589.5,0.427635385,-7
591.2,0.4288686,-8
593.9,0.430827235,-8
612.3,0.444174972,-8
635,0.460642018,-8
653,0.473699587,-8
673.7212318,0.488731193,-7
691.1573282,0.501379695,-7
707.2313295,0.513040105,-7
672.178146,0.487611807,-6
652.532722,0.473360614,-6
653.3383061,0.473945001,-6
693.4091628,0.503013222,-6
720.0252543,0.52232108,-6
777.2257764,0.563815512,-6
855.4,0.620524696,-6
865.7,0.627996527,-6
851.2,0.61747793,-7
823.3,0.597238698,-7
772,0.560024626,-8
714.3,0.518167863,-8
654.8,0.475005344,-9
609.9,0.442433963,-9
588.3,0.42676488,-9
576.5,0.418204918,-10
569.6,0.413199517,-11
581.3,0.421686937,-11
620.6,0.450195962,-12
697.8,0.506198425,-12
755.6919677,0.548194445,-11
727.6573696,0.527857573,-9
697.1739226,0.505744256,-7
683.7924069,0.49603703,-6
658.1120302,0.477407958,-5
646.8471298,0.469236169,-4
652.7893685,0.47354679,-4
668.6244746,0.485033901,-4
708.3328691,0.513839184,-4
777.4708727,0.563993309,-6
859.2,0.623281294,-8
878.3,0.637136825,-9
865.6,0.627923985,-10
836.9,0.607104417,-11
791.9,0.574460494,-12
716.8,0.519981415,-13
656.1,0.47594839,-14
613.2,0.444827851,-15
590.5,0.428360805,-16
574.6,0.416826619,-17
571.5,0.414577816,-17
583.3,0.423137778,-18
625.8,0.453968149,-18
715,0.518675658,-17
762.2994234,0.552987629,-15
724.396501,0.525492072,-12
687.2554784,0.498549213,-9
664.5653299,0.482089314,-6
656.2385533,0.4760489,-4
652.8423264,0.473585207,-3
694.4020314,0.503733469,-3
695.101,0.504240515,-3
753.249936,0.546422945,-3
795.1311597,0.576804444,-3
841.4,0.610368809,-3
853.4,0.619073855,-2
835.5,0.606088828,-1
805.5,0.584326213,-1
763.8,0.554076178,-1
702.6,0.509680444,-1
636.1,0.46143998,-1
598.2,0.433946543,-1
578.5,0.419655759,-1
563,0.408411742,-1
555.3,0.402826004,-1
565.1,0.409935125,-1
604.1,0.438226524,-2
681.7,0.494519155,-2
757.0262081,0.549162331,-1
779.750074,0.565646689,-1
783.246724,0.56818323,0
750.2255874,0.544229021,0
676.6568994,0.490860786,0
684.6665462,0.496671148,0
707.5855729,0.51329708,0
669.4640509,0.485642947,0
703.8606904,0.510594974,-1
763.4548124,0.553825772,-3
835.7,0.606233912,-4
857.5,0.622048079,-6
844.8,0.612835239,-7
818.1,0.593466511,-8
783.3,0.568221878,-9
731.8,0.530862722,-10
687.2,0.498508968,-10
645.3,0.468113849,-11
619.9,0.449688168,-12
604.1,0.438226524,-12
596.3,0.432568244,-13
596.8,0.432930955,-13
617.5,0.447947159,-14
646.5,0.468984353,-14
663.0646157,0.481000665,-13
658.5315164,0.477712262,-12
650.8124956,0.472112726,-11
643.619348,0.466894669,-10
624.6895735,0.453162623,-9
617.3702578,0.447853041,-8
616.4668609,0.447197699,-7
630.6352527,0.457475741,-7
666.6355558,0.483591098,-8
726.6929988,0.527157999,-8
815.7,0.591725502,-9
842.9,0.61145694,-10
829.6,0.601808847,-4
805.8,0.584543839,-5
780.5,0.5661907,-6
739.9,0.536738628,-6
697,0.505618089,-7
649.7,0.471305699,-7
622.3,0.451429177,-7
600.4,0.435542468,-8
588.3,0.42676488,-8
584.3,0.423863198,-8
592.1,0.429521478,-9
610.2,0.442651589,-8
612.3366663,0.444201571,-6
613.4975871,0.445043727,-3
579.8274749,0.420618737,-1
584.4232795,0.423952628,0
582.4186508,0.422498429,1
584.1444723,0.423750375,2
597.5012233,0.433439636,3
591.0263309,0.428742617,3
635.189743,0.460779661,1
707.955807,0.513565656,0
789.6,0.572792027,0
801.1,0.581134363,0
781.4,0.566843579,0
757.3,0.549360945,0
731.7,0.53079018,0
692.7,0.502498781,0
646,0.468621643,0
599.6,0.434962132,0
575.3,0.417334414,0
566.5,0.410950713,0
563,0.408411742,0
574.7,0.416899162,1
606.4,0.439894991,1
656.8,0.476456185,2
689.0972444,0.499885268,3
711.4831052,0.51612443,4
743.9326201,0.539663973,5
789.3997677,0.572646774,6
788.9493258,0.572320015,7
797.9325131,0.578836603,8
816.0939869,0.592011308,8
825.5471915,0.598868857,8
808.8306583,0.586742341,7
835.3762597,0.605999064,7
880.3,0.638587666,7
887.4,0.643738152,7
874.9,0.634670396,6
828.6,0.601083427,6
783.2,0.568149336,5
726.6,0.527090536,4
672.6,0.487917828,4
628.9,0.456216953,3
609.8,0.442361421,3
598.4,0.434091627,3
600.5,0.43561501,2
613.3,0.444900393,2
652.8,0.473554503,2
719.6,0.522012592,2
759.2750744,0.550793704,2
751.8271197,0.545390805,4
741.919522,0.538203631,6
729.1870181,0.528967211,7
684.9128235,0.496849803,8
678.3364207,0.492079146,8
684.6503014,0.496659364,8
692.3166968,0.502220725,8
728.6731178,0.528594418,6
786.9616739,0.570878131,4
867.9,0.629592452,4
898.5,0.65179032,5
887.5,0.643810694,4
863.8,0.626618228,2
818.7,0.593901764,1
738,0.535360329,0
669.2,0.485451399,0
622.4,0.451501719,0
601.1,0.436050263,0
583.1,0.422992694,0
576.5,0.418204918,0
576.1,0.41791475,0
621.8,0.451066467,0
696.9,0.505545547,1
753.0402457,0.546270832,3
763.8731689,0.554129256,4
787.1113907,0.570986739,5
772.4420202,0.560345277,5
764.0339392,0.554245882,5
781.3968228,0.566841274,6
765.5765395,0.555364916,6
735.8109059,0.533772315,5
734.3084224,0.532682383,5
773.2713861,0.560946916,4
824.1,0.597819034,3
847.3,0.61464879,3
841.1,0.610151183,2
813.5,0.590129577,2
772.1,0.560097168,2
702.1,0.509317733,2
629.5,0.456652205,2
588.5,0.426909964,1
568.1,0.412111386,1
552.1,0.400504658,0
545.5,0.395716883,0
553.5,0.401520247,-1
588.6,0.426982506,-1
668.3,0.48479852,-1
729.5636031,0.529240394,0
704.6774786,0.511187489,0
682.9455498,0.495422702,0
675.7929662,0.490234072,2
655.9818936,0.475862713,3
646.6415866,0.469087063,3
649.2740134,0.47099668,4
662.8584155,0.480851083,3
698.6593574,0.506821821,2
767.6129129,0.556842143,0
864.2,0.626908396,0
896,0.649976768,-1
892.5,0.647437797,-1
861.8,0.625167387,-2
819.1,0.594191932,-2
755.2,0.547837562,-2
691.2,0.50141065,-2
644.7,0.467678597,-3
616.8,0.447439365,-3
602.9,0.43735602,-3
597.5,0.433438749,-2
604.4,0.43844415,-2
645,0.467896223,-1
725.7,0.526437657,-1
777.0873452,0.563715091,0
766.4569943,0.556003616,0
798.6384911,0.579348734,0
796.7619114,0.577987424,1
772.7277656,0.560552562,2
789.4560913,0.572687633,3
751.3459657,0.545041766,3
746.6267584,0.541618357,3
777.5997035,0.564086766,2
790.8110808,0.57367057,1
845.5,0.613343033,0
872.6,0.633001929,0
859.3,0.623353836,0
831.6,0.603259688,0
792.3,0.574750662,0
746.3,0.541381319,0
686.3,0.497856089,0
634.2,0.460061681,0
610,0.442506505,0
590.5,0.428360805,-1
577.9,0.419220507,-1
573.8,0.416246283,-2
585,0.424370993,-1
613.8,0.445263103,0
