Year,Month,Day,Hour,AC System Output (W)
2015,2,8,14,230754303.8
2015,2,8,15,265765675.5
2015,2,8,16,75504460.28
2015,2,8,17,0
2015,2,8,18,0
2015,2,8,19,0
2015,2,8,20,0
2015,2,8,21,0
2015,2,8,22,0
2015,2,8,23,0
2015,2,9,0,0
2015,2,9,1,0
2015,2,9,2,0
2015,2,9,3,0
2015,2,9,4,0
2015,2,9,5,0
2015,2,9,6,0
2015,2,9,7,65789636.25
2015,2,9,8,114335355.1
2015,2,9,9,166023332.8
2015,2,9,10,182945595.1
2015,2,9,11,223674396
2015,2,9,12,292396916.2
2015,2,9,13,168291523.4
2015,2,9,14,88222075.28
2015,2,9,15,118191980.4
2015,2,9,16,85399794.65
2015,2,9,17,0
2015,2,9,18,0
2015,2,9,19,0
2015,2,9,20,0
2015,2,9,21,0
2015,2,9,22,0
2015,2,9,23,0
2015,2,10,0,0
2015,2,10,1,0
2015,2,10,2,0
2015,2,10,3,0
2015,2,10,4,0
2015,2,10,5,0
2015,2,10,6,0
2015,2,10,7,74978173.59
2015,2,10,8,236428990.2
2015,2,10,9,374844296.5
2015,2,10,10,464057410.9
2015,2,10,11,512618028.1
2015,2,10,12,515469278.8
2015,2,10,13,476319285.3
2015,2,10,14,396493974.9
2015,2,10,15,271554366
2015,2,10,16,113390301
2015,2,10,17,0
2015,2,10,18,0
2015,2,10,19,0
2015,2,10,20,0
2015,2,10,21,0
2015,2,10,22,0
2015,2,10,23,0
2015,2,11,0,0
2015,2,11,1,0
2015,2,11,2,0
2015,2,11,3,0
2015,2,11,4,0
2015,2,11,5,0
2015,2,11,6,0
2015,2,11,7,74981034.83
2015,2,11,8,228781290.1
2015,2,11,9,350084730
2015,2,11,10,433068991.8
2015,2,11,11,472264952.8
2015,2,11,12,476394803.3
2015,2,11,13,457212054.6
2015,2,11,14,377348281.6
2015,2,11,15,258630395.7
2015,2,11,16,106288699.4
2015,2,11,17,0
2015,2,11,18,0
2015,2,11,19,0
2015,2,11,20,0
2015,2,11,21,0
2015,2,11,22,0
2015,2,11,23,0
2015,2,12,0,0
2015,2,12,1,0
2015,2,12,2,0
2015,2,12,3,0
2015,2,12,4,0
2015,2,12,5,0
2015,2,12,6,0
2015,2,12,7,57538038.28
2015,2,12,8,198904369.4
2015,2,12,9,86754797.76
2015,2,12,10,51059172.96
2015,2,12,11,108202166.4
2015,2,12,12,218064392.4
2015,2,12,13,102592702.3
2015,2,12,14,102841958.6
2015,2,12,15,33473524.76
2015,2,12,16,96842708.93
2015,2,12,17,0
2015,2,12,18,0
2015,2,12,19,0
2015,2,12,20,0
2015,2,12,21,0
2015,2,12,22,0
2015,2,12,23,0
2015,2,13,0,0
2015,2,13,1,0
2015,2,13,2,0
2015,2,13,3,0
2015,2,13,4,0
2015,2,13,5,0
2015,2,13,6,0
2015,2,13,7,84385748.34
2015,2,13,8,246513881.8
2015,2,13,9,379505165.3
2015,2,13,10,388529615.1
2015,2,13,11,515196522.8
2015,2,13,12,320937988.8
2015,2,13,13,338346064.2
2015,2,13,14,257636747.4
2015,2,13,15,107142498.6
2015,2,13,16,24877695.39
2015,2,13,17,0
2015,2,13,18,0
2015,2,13,19,0
2015,2,13,20,0
2015,2,13,21,0
2015,2,13,22,0
2015,2,13,23,0
2015,2,14,0,0
2015,2,14,1,0
2015,2,14,2,0
2015,2,14,3,0
2015,2,14,4,0
2015,2,14,5,0
2015,2,14,6,0
2015,2,14,7,75278439.78
2015,2,14,8,236727286.3
2015,2,14,9,378720762.9
2015,2,14,10,485771795.6
2015,2,14,11,541006704.4
2015,2,14,12,546906537.7
2015,2,14,13,508610132.2
2015,2,14,14,423580129.6
2015,2,14,15,292548093
2015,2,14,16,129712746.2
2015,2,14,17,0
2015,2,14,18,0
2015,2,14,19,0
2015,2,14,20,0
2015,2,14,21,0
2015,2,14,22,0
2015,2,14,23,0
2015,2,15,0,0
2015,2,15,1,0
2015,2,15,2,0
2015,2,15,3,0
2015,2,15,4,0
2015,2,15,5,0
2015,2,15,6,0
2015,2,15,7,88866786.89
2015,2,15,8,251238870.5
2015,2,15,9,385413324.3
2015,2,15,10,474221619.9
2015,2,15,11,518771667.6
2015,2,15,12,520997150.7
2015,2,15,13,480984234.8
2015,2,15,14,401879629
2015,2,15,15,278810474.7
2015,2,15,16,122462313.1
2015,2,15,17,0
2015,2,15,18,0
2015,2,15,19,0
2015,2,15,20,0
2015,2,15,21,0
2015,2,15,22,0
2015,2,15,23,0
2015,2,16,0,0
2015,2,16,1,0
2015,2,16,2,0
2015,2,16,3,0
2015,2,16,4,0
