ept,netload,tmpf,month,hour,dayofweek,mw2day,mw7day
2019-01-21 09:00:00,18433.852,19.0,1,9,0,12657.355,15432.495
2019-01-21 10:00:00,17941.731,19.9,1,10,0,12621.668,15064.149
2019-01-21 11:00:00,17434.453,21.9,1,11,0,12561.008,14734.373
2019-01-21 12:00:00,16906.491,23.0,1,12,0,12290.363,14376.491
2019-01-21 13:00:00,16367.258,25.0,1,13,0,12090.041,14040.834
2019-01-21 14:00:00,15973.611,27.0,1,14,0,12044.488,13782.797
2019-01-21 15:00:00,15942.006,28.0,1,15,0,12162.312,13675.249
2019-01-21 16:00:00,16642.982,28.0,1,16,0,12386.199,14149.151
2019-01-21 17:00:00,17952.294,27.0,1,17,0,12880.447,15291.565
2019-01-21 18:00:00,18546.335,26.1,1,18,0,12894.328,15703.788
2019-01-21 19:00:00,18575.657,24.1,1,19,0,12677.695,15681.303
2019-01-21 20:00:00,18456.389,21.9,1,20,0,12336.543,15432.274
2019-01-21 21:00:00,18072.306,19.9,1,21,0,11927.338,14938.097
2019-01-21 22:00:00,17456.006,19.0,1,22,0,11308.894,14259.27
2019-01-21 23:00:00,17024.484,19.0,1,23,0,10721.468,13702.923
2019-01-22 00:00:00,16863.928,17.1,1,0,1,10365.658,13363.469
2019-01-22 01:00:00,16897.551,17.1,1,1,1,10029.87,13261.038
2019-01-22 02:00:00,16902.443,17.1,1,2,1,9822.966,13271.145
2019-01-22 03:00:00,17141.67,16.0,1,3,1,9620.431,13429.76
2019-01-22 04:00:00,17696.662,15.1,1,4,1,9591.296,13958.609
2019-01-22 05:00:00,18558.91,16.0,1,5,1,9686.255,14771.448
2019-01-22 06:00:00,19594.703,15.1,1,6,1,10025.69,15859.863
2019-01-22 07:00:00,19925.34,14.0,1,7,1,10439.497,16399.34
2019-01-22 08:00:00,19107.425,16.0,1,8,1,10842.596,16085.851
2019-01-22 09:00:00,17776.372,19.9,1,9,1,11084.396,15205.334
2019-01-22 10:00:00,16674.195,24.1,1,10,1,11168.684,14268.354
2019-01-22 11:00:00,15653.645,26.1,1,11,1,11305.753,13558.226
2019-01-22 12:00:00,14866.122,28.9,1,12,1,11434.424,12973.155
2019-01-22 13:00:00,14248.015,30.9,1,13,1,11524.775,12621.721
2019-01-22 14:00:00,13906.396,33.1,1,14,1,11591.823,12580.726
2019-01-22 15:00:00,13991.749,36.0,1,15,1,11950.624,12541.637
2019-01-22 16:00:00,14651.544,33.1,1,16,1,12718.051,13107.187
2019-01-22 17:00:00,15711.942,33.1,1,17,1,14063.11,14249.1
2019-01-22 18:00:00,16262.486,32.0,1,18,1,14931.116,14806.38
2019-01-22 19:00:00,16254.132,30.9,1,19,1,15253.391,14901.517
2019-01-22 20:00:00,16057.218,30.0,1,20,1,15418.418,14962.432
2019-01-22 21:00:00,15589.783,30.0,1,21,1,15353.271,14626.166
2019-01-22 22:00:00,14836.264,27.0,1,22,1,15290.52,14144.172
2019-01-22 23:00:00,14172.423,30.0,1,23,1,15216.886,13757.768
2019-01-23 00:00:00,13802.947,30.0,1,0,2,15210.368,13610.331
2019-01-23 01:00:00,13590.443,30.9,1,1,2,15363.484,13590.633
2019-01-23 02:00:00,13502.341,30.9,1,2,2,15701.782,13654.394
2019-01-23 03:00:00,13552.476,30.9,1,3,2,16117.963,13884.04
