date,netload,tmpf,month,hour,dayofweek,kw_2,kw_7,poten_2,poten_7
2015-02-03 23:00:00,85.966954999,42.08,2,23,1,87.558256944,84.028826387,5.443305674142863,4.413169858700002
2015-02-04 00:00:00,84.437401945,42.08,2,0,2,92.218538335,80.964247498,13.452853097571436,0.0
2015-02-04 01:00:00,84.467978335,42.08,2,1,2,86.800984445,82.761858889,10.141291390142854,2.8185899730000017
2015-02-04 02:00:00,83.766152776,42.98,2,2,2,87.417425278,81.4167975,12.839270755142849,0.0
2015-02-04 03:00:00,75.588633058,42.08,2,3,2,80.355461666,74.039915554,12.904594046571432,0.0
2015-02-04 04:00:00,73.680545836,42.98,2,4,2,74.071059166,73.617935834,7.885473530857141,2.2862441948000054
2015-02-04 05:00:00,76.149281941,42.98,2,5,2,69.45708139,74.402545001,2.345131787,4.954785611399998
2015-02-04 06:00:00,91.226835002,42.98,2,6,2,74.184692779,89.367434721,0.0,6.159774442200003
2015-02-04 07:00:00,98.697296389,44.06,2,7,2,86.355644722,98.451607781,0.0,5.0156249188
2015-02-04 08:00:00,115.218801387,44.06,2,8,2,107.057428055,101.593881946,11.194735159000018,0.9967661956999904
2015-02-04 09:00:00,102.68710861,46.04,2,9,2,82.506818333,83.359781387,3.565469921285711,0.0
2015-02-04 10:00:00,103.267479999,48.02,2,10,2,71.650640277,70.546466667,8.129244484142852,0.0
2015-02-04 11:00:00,82.562301946,50.0,2,11,2,39.691910554,39.115202778,0.0,0.0
2015-02-04 12:00:00,65.585528888,51.08,2,12,2,26.691163334,15.680867502,3.7324988097142793,0.0
2015-02-04 13:00:00,52.532705001,53.06,2,13,2,28.177253333,4.558406388,26.74844991971429,0.0
2015-02-04 14:00:00,54.583905829,55.04,2,14,2,25.635187498,-8.890406943,30.27659769714285,0.0
2015-02-04 15:00:00,62.489057224,55.04,2,15,2,40.612866668,-13.087921113,40.717341272714286,0.0
2015-02-04 16:00:00,73.187421112,55.04,2,16,2,48.181536667,18.126228613,31.12787127028572,0.0
2015-02-04 17:00:00,68.457298889,55.04,2,17,2,66.488409166,41.471740557,23.60002698314285,0.0
2015-02-04 18:00:00,79.639136944,53.96,2,18,2,74.857455832,58.310908336,11.977439561285712,0.0
2015-02-04 19:00:00,89.356694165,53.06,2,19,2,77.865978056,83.544531391,4.364064762428583,8.043783391000005
2015-02-04 20:00:00,109.559036671,53.96,2,20,2,90.649461108,94.84493528,7.790202258285703,9.3030603351
2015-02-04 21:00:00,101.045778057,53.06,2,21,2,88.31404139,97.087842222,7.205424762428564,9.850299999600011
2015-02-04 22:00:00,98.153045833,51.98,2,22,2,90.670374723,87.379334445,6.974244525285698,4.711537694700013
2015-02-04 23:00:00,92.570954445,46.94,2,23,2,104.316696667,78.212531666,22.201745397142872,0.0
2015-02-05 00:00:00,101.817855278,51.08,2,0,3,102.210501384,88.166165,23.444816146571423,6.1980532230000165
2015-02-05 01:00:00,95.854028886,51.98,2,1,3,89.109654164,80.874035832,12.449961109142862,0.9307669160000104
2015-02-05 02:00:00,81.951902222,51.08,2,2,3,94.31827389,81.348507223,19.740119367142853,0.0
2015-02-05 03:00:00,73.134010276,46.04,2,3,3,90.142003055,68.519712778,22.69113543557144,0.0
2015-02-05 04:00:00,77.06168528,44.06,2,4,3,88.40983111,63.655686665,22.224245474857145,0.0
2015-02-05 05:00:00,78.129488051,42.98,2,5,3,86.92552139,65.201171669,19.813571787,0.0
2015-02-05 06:00:00,90.699535555,41.0,2,6,3,101.870522773,90.9034575,23.81555384485713,7.69579722120001
2015-02-05 07:00:00,110.242195003,41.0,2,7,3,122.106989164,103.170687777,30.87676587071429,9.734704914799991
2015-02-05 08:00:00,124.494272778,39.92,2,8,3,140.726003057,108.086733331,44.86331016100003,7.489617580699999
2015-02-05 09:00:00,116.740951947,39.02,2,9,3,112.109943888,84.295940278,33.16859547628572,0.4362456946999913
2015-02-05 10:00:00,104.425627778,39.92,2,10,3,108.935329168,75.039120831,45.41393337514285,1.4468224147000086
2015-02-05 11:00:00,89.250470001,41.0,2,11,3,75.756429723,54.803653333,32.348996230428554,5.71954061160001
2015-02-05 12:00:00,72.390403892,41.0,2,12,3,66.550914444,35.734042222,43.59224991971428,7.006147554999998
