ept,netload,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-18 08:00:00,54183.901,34.0,1,8,4,56190.761,58541.287,6488.663111111113
2019-01-18 09:00:00,54172.542,34.0,1,9,4,55864.926,57728.639,6065.412000000011
2019-01-18 10:00:00,54108.641,35.1,1,10,4,55737.861,56967.18,5788.727407407416
2019-01-18 11:00:00,53801.469,35.1,1,11,4,55101.658,56073.111,5655.762740740742
2019-01-18 12:00:00,53245.991,35.1,1,12,4,54474.003,54917.514,5408.236518518519
2019-01-18 13:00:00,52980.572,35.1,1,13,4,54175.564,53815.356,5628.52644444444
2019-01-18 14:00:00,52393.251,36.0,1,14,4,53776.086,52682.272,5541.69244444443
2019-01-18 15:00:00,51818.221,36.0,1,15,4,53544.106,52241.065,5230.743074074075
2019-01-18 16:00:00,51902.547,36.0,1,16,4,54030.588,52769.484,4813.643037037036
2019-01-18 17:00:00,53194.988,36.0,1,17,4,55737.806,54922.509,4145.65922222221
2019-01-18 18:00:00,54121.127,35.1,1,18,4,56819.793,56029.64,3981.658592592597
2019-01-18 19:00:00,53424.906,35.1,1,19,4,56241.967,55443.287,3646.0567777777833
2019-01-18 20:00:00,52639.851,35.1,1,20,4,55565.512,54727.666,3518.400814814828
2019-01-18 21:00:00,51337.976,35.1,1,21,4,54051.44,53527.117,3423.3070740740804
2019-01-18 22:00:00,49498.877,35.1,1,22,4,51442.741,51504.601,3378.714962962964
2019-01-18 23:00:00,47325.064,35.1,1,23,4,49052.09,49232.722,3206.2283703703724
2019-01-19 00:00:00,45591.596,34.0,1,0,5,47303.884,47462.723,3418.5262222222227
2019-01-19 01:00:00,44345.236,34.0,1,1,5,46254.446,46306.307,3211.1601851851738
2019-01-19 02:00:00,43784.263,33.1,1,2,5,45847.458,45641.093,3205.3311481481505
2019-01-19 03:00:00,43439.776,33.1,1,3,5,45699.263,45254.003,3027.6165555555563
2019-01-19 04:00:00,43666.231,33.1,1,4,5,46625.106,45599.862,2802.718666666675
2019-01-19 05:00:00,44592.147,33.1,1,5,5,48772.557,46435.898,2342.376851851848
2019-01-19 06:00:00,45974.206,33.1,1,6,5,52770.324,47908.44,1351.3545555555538
2019-01-19 07:00:00,47795.361,33.1,1,7,5,55596.004,49810.39,954.8458148148128
2019-01-19 08:00:00,49164.165,33.1,1,8,5,55920.369,51107.399,1468.9271111111157
2019-01-19 09:00:00,50424.497,33.1,1,9,5,55884.425,52250.521,2317.367000000013
2019-01-19 10:00:00,51374.45,33.1,1,10,5,55723.31,52811.41,3054.5364074074096
2019-01-19 11:00:00,51550.544,33.1,1,11,5,55283.645,52825.217,3404.837740740746
2019-01-19 12:00:00,51510.156,34.0,1,12,5,54960.749,52404.108,3672.40151851852
2019-01-19 13:00:00,51137.377,35.1,1,13,5,54629.047,51990.636,3785.33144444444
2019-01-19 14:00:00,50715.079,35.1,1,14,5,54326.438,51630.747,3863.520444444432
2019-01-19 15:00:00,50590.636,35.1,1,15,5,53900.181,51619.226,4003.158074074076
2019-01-19 16:00:00,51078.239,35.1,1,16,5,54247.128,52024.171,3989.335037037039
2019-01-19 17:00:00,52621.658,34.0,1,17,5,55863.412,53685.077,3572.329222222216
2019-01-19 18:00:00,53437.609,34.0,1,18,5,56740.541,54467.476,3298.1405925925937
2019-01-19 19:00:00,52750.426,33.1,1,19,5,56149.411,53670.362,2971.57677777778
2019-01-19 20:00:00,51855.667,32.0,1,20,5,55298.024,52834.622,2734.216814814826
2019-01-19 21:00:00,50665.403,30.9,1,21,5,53595.529,51347.42,2750.7340740740765
2019-01-19 22:00:00,49068.331,30.0,1,22,5,50892.149,49712.883,2948.168962962962
2019-01-19 23:00:00,47528.976,28.0,1,23,5,48220.382,47739.393,3410.1403703703763
2019-01-20 00:00:00,46422.28,26.1,1,0,6,46467.763,46032.426,4249.210222222224
2019-01-20 01:00:00,45643.153,21.9,1,1,6,45304.668,44837.243,4509.077185185175
2019-01-20 02:00:00,45457.122,19.9,1,2,6,44662.005,44084.169,4878.190148148155
2019-01-20 03:00:00,45683.452,18.0,1,3,6,44469.344,43762.937,5271.292555555556
2019-01-20 04:00:00,46184.117,19.0,1,4,6,45215.062,43858.711,5320.604666666673
2019-01-20 05:00:00,47276.61,19.9,1,5,6,47316.753,44515.319,5026.839851851852
2019-01-20 06:00:00,48464.504,19.9,1,6,6,50761.567,45439.567,3841.652555555556
2019-01-20 07:00:00,50076.225,14.0,1,7,6,53632.721,46726.019,3235.7098148148143
2019-01-20 08:00:00,51440.982,12.9,1,8,6,54183.901,47653.375,3745.7441111111184
